Date,Hilton,Marriott,S&P_500
2024-02-01,193.72,243.67,4906.19
2024-02-02,195.01,245.12,4958.61
2024-02-05,193.67,244.23,4942.81
2024-02-06,194.62,244.76,4954.23
2024-02-07,196.03,247.94,4995.06
2024-02-08,194.55,249.58,4997.91
2024-02-09,192.16,247.02,5026.61
2024-02-12,193.57,248.84,5021.84
2024-02-13,190.11,234.94,4953.17
2024-02-14,192.7,235.39,5000.62
2024-02-15,196.16,240.49,5029.73
2024-02-16,197.57,241.63,5005.57
2024-02-20,197.09,242.94,4975.51
2024-02-21,199.04,243.35,4981.80
2024-02-22,202.45,249.31,5087.03
2024-02-23,204.54,251.48,5088.80
2024-02-26,203.01,249.22,5069.53
2024-02-27,203.59,249.03,5078.18
2024-02-28,203.96,248.99,5069.76
2024-02-29,204.32,249.87,5096.27
2024-03-01,204.88,250,5137.08
2024-03-04,202.41,247.42,5130.95
2024-03-05,203.81,247.88,5078.65
2024-03-06,203.61,247.1,5104.76
2024-03-07,204.94,246.91,5157.36
2024-03-08,205.71,250.28,5123.69
2024-03-11,204.19,248.47,5117.94
2024-03-12,207.03,250.69,5175.27
2024-03-13,208.53,251.41,5165.31
2024-03-14,206.92,248,5150.48
2024-03-15,204.66,244.07,5117.09
2024-03-18,206.5,248.52,5149.42
2024-03-19,208.12,249.82,5178.51
2024-03-20,210.51,254.05,5224.62
2024-03-21,210.55,255.27,5241.53
2024-03-22,211.3,255.16,5234.18
2024-03-25,210.12,252.11,5218.19
2024-03-26,213.04,252.18,5203.58
2024-03-27,214.34,253.56,5248.49
2024-03-28,213.31,252.31,5254.35
2024-04-01,212.7,251.33,5243.77
2024-04-02,210.37,247.74,5205.81
2024-04-03,212.17,250.59,5211.49
2024-04-04,208.79,248.89,5147.21
2024-04-05,211.69,253.93,5204.34
2024-04-08,211.58,254.68,5202.39
2024-04-09,209.91,254.94,5209.91
2024-04-10,209.59,254.35,5160.64
2024-04-11,210.76,258.55,5199.06
2024-04-12,205.1,251.06,5123.41
2024-04-15,204.43,248.41,5061.82
2024-04-16,202.5,245.62,5051.41
2024-04-17,200.48,238.46,5022.21
2024-04-18,198.82,236.3,5011.12
2024-04-19,194.47,236,4967.23
2024-04-22,195.14,237.41,5010.60
2024-04-23,197.04,239.69,5070.55
2024-04-24,204.7,244.06,5071.63
2024-04-25,203.93,241.94,5048.42
2024-04-26,202.12,240.84,5099.96
2024-04-29,202.16,240.49,5116.17
2024-04-30,197.28,236.13,5035.69
2024-05-01,197.74,233.86,5018.39
2024-05-02,197.53,235.56,5064.20
2024-05-03,197.54,234.59,5127.79
2024-05-06,200.1,236.82,5180.74
2024-05-07,199.71,235.99,5187.70
2024-05-08,200.39,235.35,5187.67
2024-05-09,203.48,237.54,5214.08
2024-05-10,208.08,240.46,5222.68
2024-05-13,206.09,237.5,5221.42
2024-05-14,205.3,235.87,5246.68
2024-05-15,204.57,236,5308.15
2024-05-16,205.79,238.96,5297.10
2024-05-17,204.19,237.73,5303.27
2024-05-20,205.57,240.33,5308.13
2024-05-21,205.8,238.28,5321.41
2024-05-22,204.43,236.16,5307.01
2024-05-23,200.03,232.06,5267.84
2024-05-24,203.24,236.59,5304.72
2024-05-28,200,234.14,5306.04
2024-05-29,196.48,228.46,5266.95
2024-05-30,196.53,228.96,5235.48
2024-05-31,200.6,231.17,5277.51
2024-06-03,198.16,228.38,5283.40
2024-06-04,200.44,230.51,5291.34
2024-06-05,202.58,232.77,5354.03
2024-06-06,201.17,232.03,5352.96
2024-06-07,202.18,231.1,5346.99
2024-06-10,204.82,232.76,5360.79
2024-06-11,205.88,232.64,5375.32
2024-06-12,210.71,236.56,5421.03
2024-06-13,211.64,240.47,5433.74
2024-06-14,210.32,239.45,5431.60
2024-06-17,214.62,244.7,5473.23
2024-06-18,216,243.05,5487.03
2024-06-20,217.81,243.98,5473.17
2024-06-21,215.88,243.53,5464.62
2024-06-24,217.04,245.66,5447.87
2024-06-25,215.08,244.83,5469.30
2024-06-26,213.05,241.51,5477.90
2024-06-27,215.07,242.25,5482.87
2024-06-28,218.2,241.77,5460.48
2024-07-01,214.23,239.51,5475.09
2024-07-02,215.6,239.98,5509.01
2024-07-03,216.12,240.17,5537.02
2024-07-05,214.41,240.98,5567.19
2024-07-08,214.57,239.86,5572.85
2024-07-09,215.25,237.52,5576.98
2024-07-10,219.85,242.52,5633.91
2024-07-11,216.86,239.78,5584.54
2024-07-12,220.72,242.79,5615.35
2024-07-15,222.99,246.67,5631.22
2024-07-16,228.19,255.11,5667.20
2024-07-17,219.79,247.55,5588.27
2024-07-18,219,244.09,5544.59
2024-07-19,219.19,243.91,5505.00
2024-07-22,220.15,242.94,5564.41
2024-07-23,220.66,242.31,5555.74
2024-07-24,214.6,235.04,5427.13
2024-07-25,213.18,233.75,5399.22
2024-07-26,215.61,236.6,5459.10
2024-07-29,217.82,238.45,5463.54
2024-07-30,218.76,238.77,5436.44
2024-07-31,214.67,227.3,5522.30
2024-08-01,208.71,218.78,5446.68
2024-08-02,204.96,213.67,5346.56
2024-08-05,201.82,211.35,5186.33
2024-08-06,207.12,215.25,5240.03
2024-08-07,203.52,214.77,5199.50
2024-08-08,205.04,215.8,5319.31
2024-08-09,206.32,217.97,5344.16
2024-08-12,205.59,214.68,5344.39
2024-08-13,205.16,216.43,5434.43
2024-08-14,207.79,217.1,5455.21
2024-08-15,210.59,221.9,5543.22
2024-08-16,212.46,220.56,5554.25
2024-08-19,214.55,225.15,5608.25
2024-08-20,212.41,223.13,5597.12
2024-08-21,216.43,224.51,5620.85
2024-08-22,215.83,224.12,5570.64
2024-08-23,217.09,225.26,5634.61
2024-08-26,215.29,224.67,5616.84
2024-08-27,218.34,227.62,5625.80
2024-08-28,217.08,227.32,5592.18
2024-08-29,217.66,231.37,5591.96
2024-08-30,219.64,234.69,5648.40
2024-09-03,215.65,230.72,5528.93
2024-09-04,214.25,229.46,5520.07
2024-09-05,216,229.06,5503.41
2024-09-06,213.1,227.6,5408.42
2024-09-09,214.94,228.59,5471.05
2024-09-10,210.65,225.67,5495.52
2024-09-11,211.58,227.33,5554.13
2024-09-12,216.13,230.7,5595.76
2024-09-13,216.82,231.74,5626.02
2024-09-16,218.1,232.46,5633.09
2024-09-17,220.38,235.61,5634.58
2024-09-18,220.98,238.74,5618.26
2024-09-19,225.54,244.46,5713.64
2024-09-20,224.64,244.39,5702.55
2024-09-23,224.66,241.67,5718.57
2024-09-24,228.47,247.38,5732.93
2024-09-25,227.39,245.5,5722.26
2024-09-26,232.91,250.71,5745.37
2024-09-27,234.36,253.04,5738.17
2024-09-30,230.5,248.6,5762.48
2024-10-01,229.83,246.08,5708.75
2024-10-02,231.46,248.82,5709.54
2024-10-03,230.88,249.48,5699.94
2024-10-04,233.72,254.61,5751.07
2024-10-07,232.5,255.16,5695.94
2024-10-08,234.19,256.58,5751.13
2024-10-09,236.98,261.88,5792.04
2024-10-10,235.95,260.54,5780.05
2024-10-11,238.13,262.63,5815.03
2024-10-14,237.76,261.56,5859.85
2024-10-15,236.12,260.58,5815.26
2024-10-16,237.49,262.57,5842.47
2024-10-17,238.47,264.57,5841.47
2024-10-18,238.81,265.6,5864.67
2024-10-21,236.95,264.97,5853.98
2024-10-22,238.13,265.5,5851.20
2024-10-23,233.5,257.82,5797.42
2024-10-24,235.21,260.63,5809.86
2024-10-25,236.11,262.12,5808.12
2024-10-28,237.17,262.55,5823.52
2024-10-29,239.15,263.89,5832.92
2024-10-30,238.41,264.26,5813.67
